t_in_sec,t_query_sec,x,y,z,qx,qy,qz,qw,status
0,1771469608,-0.00446,0.003862,-0.01226,0.0015,-0.00018,0.000825,0.999999,OK
4.077,1771469613,0.109119,0.821301,-0.02998,0.053174,0.037925,0.148059,0.98682,OK
8.136,1771469617,-0.02411,2.219831,-0.00309,0.045114,0.14958,0.178472,0.971462,OK
12.998,1771469621,-0.21456,4.261833,0.151206,0.036701,0.168592,0.212356,0.961839,OK
17.377,1771469626,-0.49025,5.883077,0.3517,0.054982,0.127585,0.300679,0.943552,OK
21.334,1771469630,-0.57733,6.802667,0.454946,0.089587,0.070605,0.442305,0.889582,OK
